index,protID,geneID,geneName
91,9606.ENSP00000074304,ENSG00000040933,INPP4A
92,9606.ENSP00000075120,ENSG00000059804,SLC2A3
93,9606.ENSP00000078429,ENSG00000088256,GNA11
94,9606.ENSP00000078445,ENSG00000060566,CREB3L3
95,9606.ENSP00000078527,ENSG00000060642,PIGV
96,9606.ENSP00000080059,ENSG00000061273,HDAC7
97,9606.ENSP00000081029,ENSG00000061794,MRPS35
98,9606.ENSP00000083182,ENSG00000062725,APPBP2
99,9606.ENSP00000085219,ENSG00000012124,CD22
100,9606.ENSP00000155840,ENSG00000053918,KCNQ1
101,9606.ENSP00000155858,ENSG00000070985,TRPM5
102,9606.ENSP00000155926,ENSG00000071575,TRIB2
103,9606.ENSP00000156084,ENSG00000068308,OTUD5
104,9606.ENSP00000156471,ENSG00000021776,AQR
105,9606.ENSP00000156626,ENSG00000070526,ST6GALNAC1
106,9606.ENSP00000156825,ENSG00000071655,MBD3
107,9606.ENSP00000157812,ENSG00000013275,PSMC4
108,9606.ENSP00000158166,ENSG00000004660,CAMKK1
109,9606.ENSP00000158762,ENSG00000072818,ACAP1
110,9606.ENSP00000158771,ENSG00000072849,DERL2
111,9606.ENSP00000159060,ENSG00000074771,NOX3
112,9606.ENSP00000159111,ENSG00000127663,KDM4B
113,9606.ENSP00000160262,ENSG00000076662,ICAM3
114,9606.ENSP00000160373,ENSG00000077063,CTTNBP2
115,9606.ENSP00000160382,ENSG00000077080,ACTL6B
116,9606.ENSP00000160740,ENSG00000079432,CIC
117,9606.ENSP00000160827,ENSG00000079616,KIF22
118,9606.ENSP00000161559,ENSG00000079385,CEACAM1
119,9606.ENSP00000161863,ENSG00000047188,YTHDC2
120,9606.ENSP00000162023,,
121,9606.ENSP00000162044,ENSG00000064545,TMEM161A
122,9606.ENSP00000162749,ENSG00000067182,TNFRSF1A
123,9606.ENSP00000163416,ENSG00000066455,GOLGA5
124,9606.ENSP00000164133,ENSG00000068971,PPP2R5B
125,9606.ENSP00000164139,ENSG00000068976,PYGM
126,9606.ENSP00000164227,ENSG00000069399,BCL3
127,9606.ENSP00000164305,ENSG00000069943,PIGB
128,9606.ENSP00000165524,ENSG00000071677,PRLH
129,9606.ENSP00000166139,ENSG00000070404,FSTL3
130,9606.ENSP00000166244,ENSG00000070886,EPHA8
131,9606.ENSP00000166345,ENSG00000071539,TRIP13
132,9606.ENSP00000166534,ENSG00000072682,P4HA2
133,9606.ENSP00000167586,ENSG00000186847,KRT14
134,9606.ENSP00000168712,ENSG00000075388,FGF4
135,9606.ENSP00000168977,ENSG00000077009,NMRK2
136,9606.ENSP00000169298,ENSG00000073849,ST6GAL1
137,9606.ENSP00000169551,ENSG00000075336,TIMM21
138,9606.ENSP00000170168,ENSG00000079313,REXO1
139,9606.ENSP00000170447,ENSG00000075975,MKRN2
140,9606.ENSP00000170630,ENSG00000077238,IL4R
141,9606.ENSP00000171111,ENSG00000079999,KEAP1
142,9606.ENSP00000171214,,
143,9606.ENSP00000171757,ENSG00000078589,P2RY10
144,9606.ENSP00000171887,ENSG00000079308,TNS1
145,9606.ENSP00000172229,ENSG00000064300,NGFR
146,9606.ENSP00000173229,ENSG00000065320,NTN1
147,9606.ENSP00000173898,ENSG00000067445,TRO
148,9606.ENSP00000174618,ENSG00000070444,MNT
149,9606.ENSP00000174653,ENSG00000070718,AP3M2
150,9606.ENSP00000175091,ENSG00000068697,LAPTM4A
151,9606.ENSP00000175506,ENSG00000070669,ASNS
152,9606.ENSP00000175756,ENSG00000072135,PTPN18
153,9606.ENSP00000176183,ENSG00000069696,DRD4
154,9606.ENSP00000176195,ENSG00000070031,SCT
155,9606.ENSP00000177694,ENSG00000073861,TBX21
156,9606.ENSP00000178640,ENSG00000137764,MAP2K5
157,9606.ENSP00000179259,ENSG00000078237,TIGAR
158,9606.ENSP00000180166,ENSG00000078579,FGF20
159,9606.ENSP00000180173,ENSG00000003987,MTMR7
160,9606.ENSP00000181383,ENSG00000080618,CPB2
161,9606.ENSP00000181839,ENSG00000065883,CDK13
162,9606.ENSP00000182377,ENSG00000064763,FAR2
163,9606.ENSP00000183605,ENSG00000066405,CLDN18
164,9606.ENSP00000184183,ENSG00000065371,ROPN1
165,9606.ENSP00000184266,ENSG00000065518,NDUFB4
166,9606.ENSP00000184956,ENSG00000068097,HEATR6
167,9606.ENSP00000185150,ENSG00000068912,ERLEC1
168,9606.ENSP00000185206,ENSG00000112782,CLIC5
169,9606.ENSP00000188312,ENSG00000075089,ACTR6
170,9606.ENSP00000188790,ENSG00000078098,FAP
171,9606.ENSP00000192788,ENSG00000065060,UHRF1BP1
172,9606.ENSP00000193322,ENSG00000081087,OSTM1
173,9606.ENSP00000194214,ENSG00000081870,HSPB11
174,9606.ENSP00000194530,ENSG00000082146,STRADB
175,9606.ENSP00000196061,ENSG00000083444,PLOD1
176,9606.ENSP00000196371,ENSG00000083720,OXCT1
177,9606.ENSP00000196551,ENSG00000083845,RPS5
178,9606.ENSP00000198536,ENSG00000085514,PILRA
179,9606.ENSP00000198765,,
180,9606.ENSP00000198767,ENSG00000085721,RRN3
181,9606.ENSP00000198801,ENSG00000166391,MOGAT2
182,9606.ENSP00000199280,ENSG00000167580,AQP2
183,9606.ENSP00000199320,ENSG00000086189,DIMT1
184,9606.ENSP00000199389,ENSG00000086232,EIF2AK1
185,9606.ENSP00000199706,ENSG00000086504,MRPL28
186,9606.ENSP00000199708,ENSG00000086506,HBQ1
187,9606.ENSP00000199764,ENSG00000086548,CEACAM6
188,9606.ENSP00000199814,ENSG00000086589,RBM22
189,9606.ENSP00000199936,ENSG00000086696,HSD17B2
190,9606.ENSP00000200135,ENSG00000086827,ZW10
191,9606.ENSP00000200181,ENSG00000132470,ITGB4
192,9606.ENSP00000200453,ENSG00000087074,PPP1R15A
193,9606.ENSP00000200457,ENSG00000087077,TRIP6
194,9606.ENSP00000200652,ENSG00000197208,SLC22A4
195,9606.ENSP00000200676,ENSG00000087237,CETP
196,9606.ENSP00000201031,ENSG00000087510,TFAP2C
197,9606.ENSP00000201586,ENSG00000088002,SULT2B1
198,9606.ENSP00000201979,ENSG00000088320,REM1
199,9606.ENSP00000202017,ENSG00000088356,PDRG1
200,9606.ENSP00000202556,ENSG00000088808,PPP1R13B
201,9606.ENSP00000202677,ENSG00000188559,RALGAPA2
202,9606.ENSP00000202773,ENSG00000089009,RPL6
203,9606.ENSP00000202788,,
204,9606.ENSP00000202816,ENSG00000089048,ESF1
205,9606.ENSP00000202967,ENSG00000089163,SIRT4
206,9606.ENSP00000203001,ENSG00000089195,TRMT6
207,9606.ENSP00000203407,ENSG00000010256,UQCRC1
208,9606.ENSP00000203556,ENSG00000089639,GMIP
209,9606.ENSP00000203664,ENSG00000089723,OTUB2
210,9606.ENSP00000204517,ENSG00000090447,TFAP4
211,9606.ENSP00000204566,ENSG00000090487,SPG21
212,9606.ENSP00000204604,ENSG00000090539,CHRD
213,9606.ENSP00000204615,ENSG00000090534,THPO
214,9606.ENSP00000204726,ENSG00000090615,GOLGA3
215,9606.ENSP00000204961,ENSG00000090776,EFNB1
216,9606.ENSP00000205061,ENSG00000090863,GLG1
217,9606.ENSP00000205143,ENSG00000090932,DLL3
218,9606.ENSP00000205386,ENSG00000091128,LAMB4
219,9606.ENSP00000205402,ENSG00000091140,DLD
220,9606.ENSP00000205890,ENSG00000091536,MYO15A
221,9606.ENSP00000205948,ENSG00000091583,APOH
222,9606.ENSP00000206249,ENSG00000091831,ESR1
223,9606.ENSP00000206262,ENSG00000091844,RGS17
224,9606.ENSP00000206474,ENSG00000092036,HAUS4
225,9606.ENSP00000206513,ENSG00000092067,CEBPE
226,9606.ENSP00000206542,ENSG00000092094,OSGEP
227,9606.ENSP00000206765,ENSG00000092295,TGM1
228,9606.ENSP00000207437,,
229,9606.ENSP00000207549,ENSG00000092929,UNC13D
230,9606.ENSP00000207870,ENSG00000093217,XYLB
231,9606.ENSP00000209540,ENSG00000094661,OR1I1
232,9606.ENSP00000209668,ENSG00000187758,ADH1A
233,9606.ENSP00000209728,ENSG00000094804,CDC6
234,9606.ENSP00000209873,ENSG00000094914,AAAS
235,9606.ENSP00000209875,ENSG00000094916,CBX5
236,9606.ENSP00000209884,ENSG00000076321,KLHL20
237,9606.ENSP00000209929,ENSG00000094963,FMO2
238,9606.ENSP00000210060,ENSG00000095059,DHPS
239,9606.ENSP00000210187,ENSG00000167964,RAB26
240,9606.ENSP00000210313,ENSG00000095261,PSMD5
241,9606.ENSP00000210444,ENSG00000095380,NANS
242,9606.ENSP00000210633,ENSG00000095539,SEMA4G
243,9606.ENSP00000211122,ENSG00000174156,GSTA3
244,9606.ENSP00000211287,ENSG00000156711,MAPK13
245,9606.ENSP00000211998,ENSG00000035403,VCL
246,9606.ENSP00000212015,ENSG00000096717,SIRT1
247,9606.ENSP00000212355,ENSG00000069702,TGFBR3
248,9606.ENSP00000214869,ENSG00000099203,TMED1
249,9606.ENSP00000215057,ENSG00000099326,MZF1
250,9606.ENSP00000215071,ENSG00000099341,PSMD8
251,9606.ENSP00000215095,ENSG00000099365,STX1B
252,9606.ENSP00000215115,ENSG00000099385,BCL7C
253,9606.ENSP00000215368,ENSG00000099617,EFNA2
254,9606.ENSP00000215375,ENSG00000099624,ATP5D
255,9606.ENSP00000215530,ENSG00000070388,FGF22
256,9606.ENSP00000215555,ENSG00000099785,37316
257,9606.ENSP00000215565,ENSG00000099795,NDUFB7
258,9606.ENSP00000215567,ENSG00000099797,TECR
259,9606.ENSP00000215570,ENSG00000099800,TIMM13
260,9606.ENSP00000215574,ENSG00000099804,CDC34
261,9606.ENSP00000215587,ENSG00000099817,POLR2E
262,9606.ENSP00000215591,,
263,9606.ENSP00000215631,ENSG00000099860,GADD45B
264,9606.ENSP00000215637,ENSG00000099866,MADCAM1
265,9606.ENSP00000215659,ENSG00000188130,MAPK12
266,9606.ENSP00000215727,ENSG00000099937,SERPIND1
267,9606.ENSP00000215730,ENSG00000099940,SNAP29
268,9606.ENSP00000215742,ENSG00000184436,THAP7
269,9606.ENSP00000215743,ENSG00000099953,MMP11
270,9606.ENSP00000215754,ENSG00000240972,MIF
271,9606.ENSP00000215770,ENSG00000099974,DDTL
272,9606.ENSP00000215781,ENSG00000099985,OSM
273,9606.ENSP00000215793,ENSG00000099995,SF3A1
274,9606.ENSP00000215794,ENSG00000184979,USP18
275,9606.ENSP00000215829,ENSG00000100028,SNRPD3
276,9606.ENSP00000215832,ENSG00000100030,MAPK1
277,9606.ENSP00000215838,ENSG00000185339,TCN2
278,9606.ENSP00000215855,ENSG00000100053,CRYBB3
279,9606.ENSP00000215862,ENSG00000133422,MORC2
280,9606.ENSP00000215885,ENSG00000100078,PLA2G3
281,9606.ENSP00000215904,ENSG00000241360,PDXP
282,9606.ENSP00000215909,ENSG00000100097,LGALS1
283,9606.ENSP00000215939,ENSG00000100122,CRYBB1
284,9606.ENSP00000215956,ENSG00000100138,SNU13
285,9606.ENSP00000215957,ENSG00000100139,MICALL1
286,9606.ENSP00000215980,ENSG00000100162,CENPM
287,9606.ENSP00000216024,ENSG00000100206,DMC1
288,9606.ENSP00000216029,ENSG00000100211,CBY1
289,9606.ENSP00000216034,ENSG00000100216,TOMM22
290,9606.ENSP00000216037,ENSG00000100219,XBP1
291,9606.ENSP00000216038,ENSG00000100220,RTCB
292,9606.ENSP00000216039,ENSG00000100221,JOSD1
293,9606.ENSP00000216044,ENSG00000100226,GTPBP1
294,9606.ENSP00000216068,ENSG00000100246,DNAL4
295,9606.ENSP00000216075,ENSG00000100253,MIOX
296,9606.ENSP00000216099,ENSG00000243811,APOBEC3D
297,9606.ENSP00000216106,ENSG00000100281,HMGXB4
298,9606.ENSP00000216115,ENSG00000100290,BIK
299,9606.ENSP00000216117,ENSG00000100292,HMOX1
300,9606.ENSP00000216121,ENSG00000184117,NIPSNAP1
301,9606.ENSP00000216122,ENSG00000100297,MCM5
302,9606.ENSP00000216124,ENSG00000100299,ARSA
303,9606.ENSP00000216127,ENSG00000100302,RASD2
304,9606.ENSP00000216129,ENSG00000100304,TTLL12
305,9606.ENSP00000216133,ENSG00000100307,CBX7
306,9606.ENSP00000216139,ENSG00000100312,ACR
307,9606.ENSP00000216160,ENSG00000100324,TAB1
308,9606.ENSP00000216180,ENSG00000100344,PNPLA3
309,9606.ENSP00000216181,ENSG00000100345,MYH9
310,9606.ENSP00000216185,ENSG00000100348,TXN2
311,9606.ENSP00000216187,ENSG00000100350,FOXRED2
312,9606.ENSP00000216190,ENSG00000100353,EIF3D
313,9606.ENSP00000216194,ENSG00000239900,ADSL
314,9606.ENSP00000216218,ENSG00000100380,ST13
315,9606.ENSP00000216223,ENSG00000100385,IL2RB
316,9606.ENSP00000216225,ENSG00000100387,RBX1
317,9606.ENSP00000216237,ENSG00000100395,L3MBTL2
318,9606.ENSP00000216252,ENSG00000100410,PHF5A
319,9606.ENSP00000216254,ENSG00000100412,ACO2
320,9606.ENSP00000216259,ENSG00000100417,PMM1
321,9606.ENSP00000216264,ENSG00000100422,CERK
322,9606.ENSP00000216267,ENSG00000100425,BRD1
323,9606.ENSP00000216271,ENSG00000100429,HDAC10
324,9606.ENSP00000216274,ENSG00000129465,RIPK3
325,9606.ENSP00000216277,ENSG00000090060,PAPOLA
326,9606.ENSP00000216286,ENSG00000087303,NID2
327,9606.ENSP00000216294,ENSG00000023608,SNAPC1
328,9606.ENSP00000216297,ENSG00000092201,SUPT16H
329,9606.ENSP00000216330,ENSG00000100442,FKBP3
330,9606.ENSP00000216336,ENSG00000100448,CTSG
331,9606.ENSP00000216341,ENSG00000100453,GZMB
332,9606.ENSP00000216361,ENSG00000100473,COCH
333,9606.ENSP00000216366,ENSG00000100478,AP4S1
334,9606.ENSP00000216367,ENSG00000100479,POLE2
335,9606.ENSP00000216373,ENSG00000100485,SOS2
336,9606.ENSP00000216392,ENSG00000100504,PYGL
337,9606.ENSP00000216410,ENSG00000100522,GNPNAT1
338,9606.ENSP00000216442,ENSG00000100554,ATP6V1D
339,9606.ENSP00000216452,ENSG00000100564,PIGH
340,9606.ENSP00000216455,ENSG00000100567,PSMA3
341,9606.ENSP00000216465,ENSG00000100577,GSTZ1
342,9606.ENSP00000216479,ENSG00000100591,AHSA1
343,9606.ENSP00000216484,ENSG00000100596,SPTLC2
344,9606.ENSP00000216487,ENSG00000100599,RIN3
345,9606.ENSP00000216492,ENSG00000100604,CHGA
346,9606.ENSP00000216500,ENSG00000100612,DHRS7
347,9606.ENSP00000216513,ENSG00000100625,SIX4
348,9606.ENSP00000216540,ENSG00000100652,SLC10A1
349,9606.ENSP00000216554,ENSG00000100664,EIF5
350,9606.ENSP00000216629,ENSG00000100739,BDKRB1
351,9606.ENSP00000216639,ENSG00000100749,VRK1
352,9606.ENSP00000216714,ENSG00000100823,APEX1
353,9606.ENSP00000216727,ENSG00000100836,PABPN1
354,9606.ENSP00000216733,ENSG00000100842,EFS
355,9606.ENSP00000216774,ENSG00000100883,SRP54
356,9606.ENSP00000216775,,
357,9606.ENSP00000216780,ENSG00000100889,PCK2
358,9606.ENSP00000216797,ENSG00000100906,NFKBIA
359,9606.ENSP00000216799,ENSG00000100908,EMC9
360,9606.ENSP00000216802,ENSG00000100911,PSME2
361,9606.ENSP00000216807,ENSG00000100916,BRMS1L
362,9606.ENSP00000216832,ENSG00000100941,PNN
363,9606.ENSP00000216840,ENSG00000100949,RABGGTA
364,9606.ENSP00000216862,ENSG00000019186,CYP24A1
365,9606.ENSP00000216911,ENSG00000087586,AURKA
366,9606.ENSP00000216951,ENSG00000100983,GSS
367,9606.ENSP00000216962,ENSG00000100994,PYGB
368,9606.ENSP00000216968,ENSG00000101000,PROCR
369,9606.ENSP00000217026,ENSG00000101057,MYBL2
370,9606.ENSP00000217073,ENSG00000101104,PABPC1L
371,9606.ENSP00000217086,ENSG00000101115,SALL4
372,9606.ENSP00000217109,ENSG00000101138,CSTF1
373,9606.ENSP00000217121,ENSG00000101150,TPD52L2
374,9606.ENSP00000217131,ENSG00000101160,CTSZ
375,9606.ENSP00000217133,ENSG00000101162,TUBB1
376,9606.ENSP00000217159,ENSG00000101187,SLCO4A1
377,9606.ENSP00000217169,ENSG00000101197,BIRC7
378,9606.ENSP00000217173,ENSG00000185019,UBOX5
379,9606.ENSP00000217182,ENSG00000101210,EEF1A2
380,9606.ENSP00000217185,ENSG00000101213,PTK6
381,9606.ENSP00000217233,ENSG00000101255,TRIB3
382,9606.ENSP00000217244,ENSG00000101266,CSNK2A1
383,9606.ENSP00000217260,ENSG00000101282,RSPO4
384,9606.ENSP00000217270,ENSG00000101292,PROKR2
385,9606.ENSP00000217305,ENSG00000101327,PDYN
386,9606.ENSP00000217372,ENSG00000101391,CDK5RAP1
387,9606.ENSP00000217381,ENSG00000101400,SNTA1
388,9606.ENSP00000217386,ENSG00000101405,OXT
389,9606.ENSP00000217402,ENSG00000101421,CHMP4B
390,9606.ENSP00000217407,ENSG00000129988,LBP
391,9606.ENSP00000217420,ENSG00000101438,SLC32A1
392,9606.ENSP00000217426,ENSG00000101444,AHCY
393,9606.ENSP00000217429,,
394,9606.ENSP00000217446,ENSG00000101464,PIGU
395,9606.ENSP00000217455,ENSG00000101473,ACOT8
396,9606.ENSP00000217456,ENSG00000101474,APMAP
397,9606.ENSP00000217515,ENSG00000091164,TXNL1
398,9606.ENSP00000217652,ENSG00000101608,MYL12A
399,9606.ENSP00000217740,ENSG00000101695,RNF125
400,9606.ENSP00000217893,ENSG00000273841,TAF9
401,9606.ENSP00000217901,ENSG00000067829,IDH3G
402,9606.ENSP00000217958,ENSG00000101843,PSMD10
403,9606.ENSP00000217961,ENSG00000101846,STS
404,9606.ENSP00000217964,ENSG00000101849,TBL1X
405,9606.ENSP00000217971,ENSG00000101856,PGRMC1
406,9606.ENSP00000218004,ENSG00000101888,NXT2
407,9606.ENSP00000218006,ENSG00000101890,GUCY2F
408,9606.ENSP00000218008,ENSG00000101892,ATP1B4
409,9606.ENSP00000218032,ENSG00000101916,TLR8
410,9606.ENSP00000218075,ENSG00000101958,GLRA2
411,9606.ENSP00000218089,ENSG00000101972,STAG2
412,9606.ENSP00000218099,ENSG00000101981,F9
413,9606.ENSP00000218104,ENSG00000101986,ABCD1
414,9606.ENSP00000218147,ENSG00000085185,BCORL1
415,9606.ENSP00000218176,ENSG00000102057,KCND1
416,9606.ENSP00000218224,ENSG00000102103,PQBP1
417,9606.ENSP00000218316,ENSG00000102195,GPR50
418,9606.ENSP00000218340,ENSG00000102218,RP2
419,9606.ENSP00000218348,ENSG00000102226,USP11
420,9606.ENSP00000218364,ENSG00000102241,HTATSF1
421,9606.ENSP00000218388,ENSG00000102265,TIMP1
422,9606.ENSP00000218439,ENSG00000102316,MAGED2
423,9606.ENSP00000218548,ENSG00000075673,ATP12A
424,9606.ENSP00000218652,ENSG00000102471,NDFIP2
425,9606.ENSP00000218721,ENSG00000102539,MLNR
426,9606.ENSP00000218758,ENSG00000102575,ACP5
427,9606.ENSP00000218867,ENSG00000102683,SGCG
428,9606.ENSP00000218894,ENSG00000102710,SUPT20H
429,9606.ENSP00000219054,ENSG00000183747,ACSM2A
430,9606.ENSP00000219066,ENSG00000065057,NTHL1
431,9606.ENSP00000219069,ENSG00000006194,ZNF263
432,9606.ENSP00000219070,ENSG00000087245,MMP2
433,9606.ENSP00000219097,ENSG00000091651,ORC6
434,9606.ENSP00000219139,ENSG00000125149,C16orf70
435,9606.ENSP00000219150,ENSG00000102879,CORO1A
436,9606.ENSP00000219169,ENSG00000102898,NUTF2
437,9606.ENSP00000219172,,
438,9606.ENSP00000219204,ENSG00000102931,ARL2BP
439,9606.ENSP00000219235,ENSG00000102962,CCL22
440,9606.ENSP00000219240,ENSG00000102967,DHODH
441,9606.ENSP00000219244,ENSG00000102970,CCL17
442,9606.ENSP00000219252,ENSG00000102978,POLR2C
443,9606.ENSP00000219255,ENSG00000102981,PARD6A
444,9606.ENSP00000219271,ENSG00000102996,MMP15
445,9606.ENSP00000219302,ENSG00000103024,NME3
446,9606.ENSP00000219313,ENSG00000103035,PSMD7
447,9606.ENSP00000219315,ENSG00000103037,SETD6
448,9606.ENSP00000219334,ENSG00000103056,SMPD3
449,9606.ENSP00000219343,ENSG00000103064,SLC7A6
450,9606.ENSP00000219345,ENSG00000103066,PLA2G15
451,9606.ENSP00000219406,ENSG00000185615,PDIA2
452,9606.ENSP00000219409,ENSG00000242173,ARHGDIG
453,9606.ENSP00000219431,ENSG00000103152,MPG
454,9606.ENSP00000219439,ENSG00000103160,HSDL1
455,9606.ENSP00000219473,ENSG00000103194,USP10
456,9606.ENSP00000219476,ENSG00000103197,TSC2
457,9606.ENSP00000219479,ENSG00000103202,NME4
458,9606.ENSP00000219548,ENSG00000103266,STUB1
459,9606.ENSP00000219593,,
460,9606.ENSP00000219596,ENSG00000103313,MEFV
461,9606.ENSP00000219611,ENSG00000103326,CAPN15
462,9606.ENSP00000219660,ENSG00000103375,AQP8
463,9606.ENSP00000219689,ENSG00000103404,USP31
464,9606.ENSP00000219700,ENSG00000103415,HMOX2
465,9606.ENSP00000219782,ENSG00000103495,MAZ
466,9606.ENSP00000219789,ENSG00000103502,CDIPT
467,9606.ENSP00000219794,ENSG00000103507,BCKDK
468,9606.ENSP00000219833,ENSG00000103546,SLC6A2
469,9606.ENSP00000219905,ENSG00000174197,MGA
470,9606.ENSP00000220003,ENSG00000103653,CSK
471,9606.ENSP00000220058,ENSG00000103707,MTFMT
472,9606.ENSP00000220166,ENSG00000103811,CTSH
473,9606.ENSP00000220325,ENSG00000103966,EHD4
474,9606.ENSP00000220429,ENSG00000104064,GABPB1
475,9606.ENSP00000220478,ENSG00000104112,SCG3
476,9606.ENSP00000220507,ENSG00000104140,RHOV
477,9606.ENSP00000220509,ENSG00000104142,VPS18
478,9606.ENSP00000220514,ENSG00000104147,OIP5
479,9606.ENSP00000220531,ENSG00000104164,BLOC1S6
480,9606.ENSP00000220584,ENSG00000079459,FDFT1
481,9606.ENSP00000220592,ENSG00000123908,AGO2
482,9606.ENSP00000220597,ENSG00000076641,PAG1
483,9606.ENSP00000220616,ENSG00000042832,TG
484,9606.ENSP00000220659,ENSG00000104221,BRF2
485,9606.ENSP00000220669,ENSG00000104231,ZFAND1
486,9606.ENSP00000220676,ENSG00000104237,RP1
487,9606.ENSP00000220751,ENSG00000104312,RIPK2
488,9606.ENSP00000220764,ENSG00000104325,DECR1
489,9606.ENSP00000220772,ENSG00000104332,SFRP1
490,9606.ENSP00000220809,ENSG00000104368,PLAT
491,9606.ENSP00000220812,ENSG00000104371,DKK4
